"Path","Changed","OldRiffSize","NewRiffSize","OldDataSize","NewDataSize"
"Resources\sounds\sfx\weapons\shotgun\SHOT_SHOTGUN_2.wav","True","0","160038","0","160000"
"Resources\sounds\sfx\weapons\shotgun\SHOT_SHOTGUN_3.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\shotgun\SHOT_SHOTGUN_4.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\smg\SHOT_SMG_1.wav","True","0","30118","0","30080"
"Resources\sounds\sfx\weapons\smg\SHOT_SMG_2.wav","True","0","28710","0","28672"
"Resources\sounds\sfx\weapons\smg\SHOT_SMG_3.wav","True","0","30758","0","30720"
"Resources\sounds\sfx\weapons\smg\SHOT_SMG_4.wav","True","0","17446","0","17408"
"Resources\sounds\sfx\weapons\smg\SHOT_SMG_5.wav","True","0","41382","0","41344"
"Resources\sounds\sfx\weapons\sniper\SHOT_SNIPER_1.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\sniper\SHOT_SNIPER_2.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\sniper\SHOT_SNIPER_3.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\sniper\SHOT_SNIPER_4.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\sniper\SHOT_SNIPER_5.wav","True","0","385190","0","385152"
"Resources\sounds\sfx\weapons\special\SHOT_BOW.wav","True","0","65574","0","65536"
"Resources\sounds\sfx\weapons\special\SHOT_CHEMICAL.wav","True","0","186150","0","186112"
"Resources\sounds\sfx\weapons\special\SHOT_CROSSBOW.wav","True","0","72102","0","72064"
"Resources\sounds\sfx\weapons\special\SHOT_FLAMER.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\sword\SILVERSTRIKE_SWORD.wav","True","0","57894","0","57856"
"Resources\sounds\sfx\weapons\sword\SILVERSTRIKE_SWORD_SPECIAL.wav","True","0","63782","0","63744"
