full_name,namespace,name,reason
"GeneratedObjectManager","","GeneratedObjectManager","assembly-local dependency"
"Glass","","Glass","assembly-local dependency"
"GoldPiggyButtonRecord","","GoldPiggyButtonRecord","closure root"
"GrenadeAmmo","","GrenadeAmmo","assembly-local dependency"
"GrenadeAmmoBase","","GrenadeAmmoBase","assembly-local dependency"
"GrenadeAmmoBaseSetup","","GrenadeAmmoBaseSetup","assembly-local dependency"
"GrenadeAmmoContent","","GrenadeAmmoContent","assembly-local dependency"
"GrenadeAmmoEnemy","","GrenadeAmmoEnemy","assembly-local dependency"
"GuiElement","","GuiElement","assembly-local dependency"
"GuiElementSingle`1","","GuiElementSingle`1","assembly-local dependency"
"GuiReflectionManaging","","GuiReflectionManaging","assembly-local dependency"
"GuiScreen","","GuiScreen","assembly-local dependency"
"GuiScreenSingle`1","","GuiScreenSingle`1","assembly-local dependency"
"Gun","","Gun","assembly-local dependency"
"GyroController","","GyroController","assembly-local dependency"
"HBMIGBHPLOK","","HBMIGBHPLOK","assembly-local dependency"
"HFOMMJIMIGN","","HFOMMJIMIGN","assembly-local dependency"
"HHKLMPHEBFH","","HHKLMPHEBFH","assembly-local dependency"
"HNAHANEFAGD","","HNAHANEFAGD","assembly-local dependency"
"HOPENDPOGOD","","HOPENDPOGOD","assembly-local dependency"
"HPAONDMGHOJ","","HPAONDMGHOJ","assembly-local dependency"
"HPHFGNJPDKN","","HPHFGNJPDKN","assembly-local dependency"
"Hammer","","Hammer","closure root"
"Havoc","","Havoc","closure root"
"HavocBehaviour","","HavocBehaviour","closure root"
"HavocBehaviourDefinititon","","HavocBehaviourDefinititon","assembly-local dependency"
"HavocBehaviourG`1","","HavocBehaviourG`1","assembly-local dependency"
"HeadSizeSetter","","HeadSizeSetter","assembly-local dependency"
"HeaderEliteFinisherPart","","HeaderEliteFinisherPart","closure root"
"HeaderEventPart","","HeaderEventPart","closure root"
"HeaderIcon","","HeaderIcon","assembly-local dependency"
"HeaderPackPart","","HeaderPackPart","closure root"
"HeaderPiggyPart","","HeaderPiggyPart","closure root"
"HeaderRentalPart","","HeaderRentalPart","closure root"
"HeaderSalePart","","HeaderSalePart","closure root"
"Healthbar","","Healthbar","assembly-local dependency"
"Heli`1","","Heli`1","assembly-local dependency"
"Helicopter","","Helicopter","assembly-local dependency"
"HelicopterBehaviour","","HelicopterBehaviour","assembly-local dependency"
"HelicopterBehaviourDefinititon","","HelicopterBehaviourDefinititon","assembly-local dependency"
"HelicopterBehaviourG`1","","HelicopterBehaviourG`1","assembly-local dependency"
"HelicopterMotor","","HelicopterMotor","closure root"
"HudObjectIndicator","","HudObjectIndicator","assembly-local dependency"
"HudObjectIndicator2D","","HudObjectIndicator2D","assembly-local dependency"
"IAPsOfferDialog","","IAPsOfferDialog","closure root"
"IBFMOMDLFEP","","IBFMOMDLFEP","assembly-local dependency"
"IBMHKHLJJNA","","IBMHKHLJJNA","assembly-local dependency"
"ICHBAJOHDJC","","ICHBAJOHDJC","assembly-local dependency"
"IDCFPFCMKOG","","IDCFPFCMKOG","assembly-local dependency"
"IDMAJEAFNJO","","IDMAJEAFNJO","assembly-local dependency"
"IGameController","","IGameController","assembly-local dependency"
"ILGOLBDGCLI","","ILGOLBDGCLI","assembly-local dependency"
"InAppDataManager","","InAppDataManager","assembly-local dependency"
"InGameSerializedObject","","InGameSerializedObject","assembly-local dependency"
"InGameSerializedObjectGeneric`1","","InGameSerializedObjectGeneric`1","assembly-local dependency"
"InappBlackMarket","","InappBlackMarket","closure root"
"InappCrates","","InappCrates","closure root"
"InappLoyalty","","InappLoyalty","closure root"
"InappOfferBonusGUI","","InappOfferBonusGUI","closure root"
"InternetConnection","","InternetConnection","assembly-local dependency"
"IntroductionDealsDailyGold","","IntroductionDealsDailyGold","closure root"
"IntroductionDealsEvent","","IntroductionDealsEvent","closure root"
"IntroductionDealsItem","","IntroductionDealsItem","assembly-local dependency"
"IntroductionDealsLimitedOffer","","IntroductionDealsLimitedOffer","closure root"
"InvaderContent","","InvaderContent","closure root"
"InvaderHealthBarGuiElement","","InvaderHealthBarGuiElement","closure root"
"InvaderShield","","InvaderShield","closure root"
"InvasionDamagerRecord","","InvasionDamagerRecord","closure root"
"InvasionEmptyContent","","InvasionEmptyContent","closure root"
"InvasionEndGameDialog","","InvasionEndGameDialog","closure root"
"InvasionEventLog","","InvasionEventLog","closure root"
"InvasionEventLogRecord","","InvasionEventLogRecord","closure root"
"InvasionManager","","InvasionManager","closure root"
"InvasionReward","","InvasionReward","closure root"
"InvasionRewardDialog","","InvasionRewardDialog","closure root"
"InvasionRightContent","","InvasionRightContent","closure root"
"InvasionSpawnController","","InvasionSpawnController","closure root"
"InvasionTopDamagers","","InvasionTopDamagers","closure root"
"InvitationSummaryDialog","","InvitationSummaryDialog","closure root"
"JAOLJKGDKKM","","JAOLJKGDKKM","assembly-local dependency"
"JBEPBGJGPBN","","JBEPBGJGPBN","assembly-local dependency"
"JCEIPOHJCIE","","JCEIPOHJCIE","assembly-local dependency"
"JIANDGHBHMC","","JIANDGHBHMC","assembly-local dependency"
"JKPAKCLGFBA","","JKPAKCLGFBA","assembly-local dependency"
"JMGBMKPMBCL","","JMGBMKPMBCL","assembly-local dependency"
"JMOIBFIIKMM","","JMOIBFIIKMM","assembly-local dependency"
"KDECGKOCKAK","","KDECGKOCKAK","assembly-local dependency"
"KGIMIHGHKMD","","KGIMIHGHKMD","assembly-local dependency"
"KJLIMOPJICE","","KJLIMOPJICE","assembly-local dependency"
"KJMHIFOHDCO","","KJMHIFOHDCO","assembly-local dependency"
"KOFMDDIEDMP","","KOFMDDIEDMP","assembly-local dependency"
"KPLOMKBEHBO","","KPLOMKBEHBO","assembly-local dependency"
"Kevlar","","Kevlar","assembly-local dependency"
"KinematicRagdoll","","KinematicRagdoll","assembly-local dependency"
"Kochava","","Kochava","assembly-local dependency"
"KochavaConfiguration","","KochavaConfiguration","closure root"
"LBNBIKLOBAA","","LBNBIKLOBAA","assembly-local dependency"
"LHDJHNFCLMD","","LHDJHNFCLMD","assembly-local dependency"
"LIIMFPNNGAC","","LIIMFPNNGAC","assembly-local dependency"
"LOANJAAPMGJ","","LOANJAAPMGJ","assembly-local dependency"
"LeaderboardRecord","","LeaderboardRecord","assembly-local dependency"
"League","","League","assembly-local dependency"
"LeagueContent","","LeagueContent","assembly-local dependency"
"LeaguesScreen","","LeaguesScreen","assembly-local dependency"
"LevelBehaviour","","LevelBehaviour","assembly-local dependency"
"LevelManager","","LevelManager","assembly-local dependency"
