asset,status,samples,channels,frequency,length_seconds,load_state
"Assets/Resources/sounds/sfx/weapons/shotgun/SHOT_SHOTGUN_4.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/smg/SHOT_SMG_1.wav",ok,15040,1,44100,0.341,Loaded
"Assets/Resources/sounds/sfx/weapons/smg/SHOT_SMG_2.wav",ok,14336,1,44100,0.325,Loaded
"Assets/Resources/sounds/sfx/weapons/smg/SHOT_SMG_3.wav",ok,15360,1,44100,0.348,Loaded
"Assets/Resources/sounds/sfx/weapons/smg/SHOT_SMG_4.wav",ok,8704,1,44100,0.197,Loaded
"Assets/Resources/sounds/sfx/weapons/smg/SHOT_SMG_5.wav",ok,20672,1,44100,0.469,Loaded
"Assets/Resources/sounds/sfx/weapons/sniper/SHOT_SNIPER_1.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/sniper/SHOT_SNIPER_2.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/sniper/SHOT_SNIPER_3.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/sniper/SHOT_SNIPER_4.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/sniper/SHOT_SNIPER_5.wav",ok,192576,1,48000,4.012,Loaded
"Assets/Resources/sounds/sfx/weapons/special/SHOT_BOW.wav",ok,32768,1,48000,0.683,Loaded
"Assets/Resources/sounds/sfx/weapons/special/SHOT_CHEMICAL.wav",ok,93056,1,48000,1.939,Loaded
"Assets/Resources/sounds/sfx/weapons/special/SHOT_CROSSBOW.wav",ok,36032,1,48000,0.751,Loaded
"Assets/Resources/sounds/sfx/weapons/special/SHOT_FLAMER.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/sword/SILVERSTRIKE_SWORD.wav",ok,28928,1,40265,0.718,Loaded
"Assets/Resources/sounds/sfx/weapons/sword/SILVERSTRIKE_SWORD_SPECIAL.wav",ok,31872,1,44100,0.723,Loaded
